transaction_id,customer_id,product_id,product_category,quantity,price,total_amount,payment_method,store_location,timestamp
36f87b2c-ec17-4c28-a762-82294d8cc2fb,8cbdf86e-ea69-4307-a8e2-e98607762350,P004,Books,2,19.99,39.98,PayPal,Chicago,2026-07-14T12:24:37.817482
2721418e-b234-481c-bc8e-971d9ec92a4a,58b5df27-8cbf-438d-8e22-d4b10677250f,P005,Sports,2,89.99,179.98,Credit Card,Dallas,2026-07-14T12:24:37.817505
88db8765-2f49-47b7-95c0-9b51896d36f3,8eb3be09-c6df-404f-a294-4697fbbf4a57,P005,Sports,5,89.99,449.95,Credit Card,Seattle,2026-07-14T12:24:37.817521
131c0883-800f-4282-ab76-4ab42a3858d3,8607c7f9-5824-49ce-a47d-bc809371f6aa,P002,Clothing,5,49.99,249.95,Cash,Boston,2026-07-14T12:24:37.817536
5b2ba6d6-e23f-4b6b-ae27-af81af446cbb,4fe39a19-132a-4933-b37e-dad4a0f481a7,P002,Clothing,4,49.99,199.96,Credit Card,Seattle,2026-07-14T12:24:37.817550
536385bf-d174-466b-84ea-9f1806574602,5d1cdd8f-8502-492d-96a1-5283f6f9e8b7,P003,Home,5,129.99,649.95,Cash,New York,2026-07-14T12:24:37.817564
9dc96792-2fb1-4935-a9bc-291a6872cdc8,5381d8ad-c3b7-4782-aba9-26cb99082786,P004,Books,2,19.99,39.98,Debit Card,Boston,2026-07-14T12:24:37.817578
f2dbfa51-e151-4173-8153-d6e277502ab4,44e85f22-0af2-4740-ba62-a4c664307e1d,P003,Home,3,129.99,389.97,Credit Card,Chicago,2026-07-14T12:24:37.817592
4f377d43-db9c-4f64-ab4e-c28c398670fe,ae4f6f0e-be3c-476e-8a75-c34aaba7df06,P003,Home,2,129.99,259.98,Credit Card,Dallas,2026-07-14T12:24:37.817607
af47d24c-1efe-4c83-bc75-e3148c909319,aff021fa-ed6e-4f9b-b3a0-275d9fb9a2d8,P003,Home,4,129.99,519.96,Credit Card,New York,2026-07-14T12:24:37.817620
896911ee-dca0-4855-8dd4-940f544dfbd4,815b23cb-ed32-4b89-9653-aff1c1f11600,P003,Home,1,129.99,129.99,PayPal,Boston,2026-07-14T12:24:37.817634
ca789339-d328-446c-926d-bc86ec85d28f,46e8789f-6e12-410e-93cd-5b5e56b8cbed,P005,Sports,3,89.99,269.97,Cash,Dallas,2026-07-14T12:24:37.817648
fe399457-4a60-4c2b-b1fe-114c475a5081,73e38664-11fe-4b02-90ea-d73d072847c4,P005,Sports,2,89.99,179.98,Cash,New York,2026-07-14T12:24:37.817662
35399f45-2cd3-4923-964e-7a7ae0f5f597,5202b7d5-7f20-4084-a80d-9f7115964cf8,P004,Books,1,19.99,19.99,Cash,Chicago,2026-07-14T12:24:37.817676
7cf42369-53db-4deb-a688-ebc8ffab9437,b715cf7a-bb4d-4918-9d81-ab63cf2afca7,P005,Sports,3,89.99,269.97,Credit Card,Boston,2026-07-14T12:24:37.817691
715925ff-3a48-41f9-8688-e1c2cda6a7e9,856348da-c88c-4a4f-a4ec-50d6741436ea,P003,Home,5,129.99,649.95,Debit Card,Dallas,2026-07-14T12:24:37.817705
027c4253-fb24-4ca7-a5cb-b31f230b4c78,2a7a70f2-f4a5-4169-8837-c70b9c424aa4,P005,Sports,2,89.99,179.98,Credit Card,Chicago,2026-07-14T12:24:37.817719
b011931a-8037-4daa-aedc-e815663e8a7a,247b912d-38a5-4419-9927-38acfd0e88ed,P003,Home,3,129.99,389.97,PayPal,New York,2026-07-14T12:24:37.817733
0e7bde56-0c11-4dc5-8895-c13ce332f9fc,279ad006-8664-4ec6-b076-323a4fdb86bb,P001,Electronics,5,799.99,3999.95,Debit Card,Boston,2026-07-14T12:24:37.817747
52ad016e-0a33-415f-b9db-cbcc3d9059ea,2b176991-a506-451d-b164-7eb4b31ba536,P001,Electronics,1,799.99,799.99,Cash,Chicago,2026-07-14T12:24:37.817761
cfb5dc34-811f-4c18-beca-3bbbeeeca7de,52f0e408-a4b7-48de-b363-755f001068b9,P004,Books,1,19.99,19.99,Debit Card,Seattle,2026-07-14T12:24:37.817775
5f835e05-f7db-4ae3-a137-c9b277aa317e,10447102-1036-48d3-9cc7-a36e2d1e4351,P002,Clothing,2,49.99,99.98,PayPal,Chicago,2026-07-14T12:24:37.817788
c2e5b2fe-6864-4b97-a29e-f937a6013364,2c758393-0d67-4cba-b137-995572bcf328,P002,Clothing,3,49.99,149.97,Credit Card,Dallas,2026-07-14T12:24:37.817804
cf4243bf-43aa-41c4-bcbf-a3330bca73f3,21ba3d71-e045-4e73-8620-47d2d8dbebc6,P003,Home,2,129.99,259.98,Debit Card,New York,2026-07-14T12:24:37.817818
a85d9515-46dd-4e0e-82e7-f729851b1980,7bfdd35d-521d-4c7f-a11b-fa9a53a74006,P001,Electronics,4,799.99,3199.96,Cash,Seattle,2026-07-14T12:24:37.817832
cac30df8-ba75-492d-9bb6-0e2c9a21e588,e91816e7-b0bc-4c31-8ab7-80dbea34a7f7,P002,Clothing,2,49.99,99.98,Credit Card,Boston,2026-07-14T12:24:37.817845
c1313528-58fc-4ce8-b88f-b4db97a2a049,53a2c347-edbe-47b0-9cd1-1ec408ddbb7c,P001,Electronics,4,799.99,3199.96,Debit Card,Chicago,2026-07-14T12:24:37.817859
196ed431-d204-4474-8b9d-77e405493209,0e2e9074-2f8e-487d-aed1-e7b496da38e3,P001,Electronics,3,799.99,2399.97,Debit Card,Chicago,2026-07-14T12:24:37.817873
47b2c033-fad0-4b59-9d84-2fec58f18289,de431d07-6c0e-4e31-8d18-4c45728b79fb,P004,Books,3,19.99,59.97,Cash,Dallas,2026-07-14T12:24:37.817887
4da43ab7-3a16-4f6a-9d69-85dd8ac16bc5,8f232bc5-93f7-4ecc-b7ae-99497a09891b,P003,Home,2,129.99,259.98,PayPal,Chicago,2026-07-14T12:24:37.817901
a04018fc-ff22-49a1-b9ef-5381a67f5710,bd801d3d-f0f3-432b-9789-8b05c590246f,P004,Books,3,19.99,59.97,Cash,Boston,2026-07-14T12:24:37.817915
c4a0ea5a-16df-4f7e-94a5-d23d33d554b6,c929e1fc-e21c-4ab7-b2b0-314658b9730b,P002,Clothing,1,49.99,49.99,Credit Card,Chicago,2026-07-14T12:24:37.817928
922bedc1-f64b-4c10-9c58-05dbe61fa57a,440c8c3a-5ddd-4aa4-adb7-82392a80662c,P002,Clothing,2,49.99,99.98,Debit Card,Boston,2026-07-14T12:24:37.817942
